              latlon ;city
-122.7029,38.4461; Santa Rosa
-122.6987,45.52339; Portland
-122.6987,45.52706; Portland
-122.6986,45.53192; Portland
-122.6951,45.47834; Portland
-122.6945,45.53001; Portland
-122.6936,38.36239; Rohnert Park
-122.6931,45.52371; Portland
-122.6915,45.51774; Portland
-122.6903,42.18467; Ashland
-122.6886,47.65047; Silverdale
-122.6883,38.43395; Santa Rosa
-122.6864,47.65862; Silverdale
-122.6862,45.47108; Portland
-122.685,45.4987; Portland
-122.6848,45.46296; Portland
-122.6847,45.51298; Portland
-122.6832,45.51466; Portland
-122.6831,45.61324; Portland
-122.6828,45.5301; Portland
-122.6827,45.52083; Portland
-122.6821,45.60941; Portland
-122.682,45.57653; Portland
-122.6797,45.51924; Portland
-122.6796,45.51708; Portland
-122.6794,45.51543; Portland
-122.6791,47.65047; Silverdale
-122.6785,45.26764; Canby
-122.6778,45.26792; Canby
-122.6775,38.33608; Rohnert Park
-122.6775,45.51889; Portland
-122.6767,45.40697; Lake Oswego
-122.6766,45.52165; Portland
-122.6752,45.51293; Portland
-122.6752,45.51662; Portland
-122.6751,45.52118; Portland
-122.6744,38.45882; Santa Rosa
-122.6739,45.62727; Vancouver
-122.6738,45.51938; Portland
-122.673,45.47996; Portland
-122.6729,38.4386; Santa Rosa
-122.6729,42.18536; Ashland
-122.6693,45.6858; Vancouver
-122.6687,45.68088; Vancouver
-122.667,45.72184; Vancouver
-122.6636,45.41605; Lake Oswego
-122.663,48.28558; Oak Harbor
-122.6621,45.67799; Vancouver
-122.6619,45.53035; Portland
-122.6616,45.52848; Portland
-122.6606,45.53453; Portland
-122.6578,48.28944; Oak Harbor
-122.6572,45.50547; Portland
-122.6563,45.53362; Portland
-122.6554,47.3273; Gig Harbor
-122.6541,45.35019; West Linn
-122.6532,38.46514; Santa Rosa
-122.653,47.49621; Port Orchard
-122.6529,45.46428; Portland
-122.6512,45.72474; Vancouver
-122.6504,45.53507; Portland
-122.6504,45.54835; Portland
-122.6489,45.47354; Portland
-122.6472,45.36733; West Linn
-122.647,45.36065; West Linn
-122.6465,45.51222; Portland
-122.6448,45.39022; West Linn
-122.6423,47.09643; Dupont
-122.6405,38.2344; Petaluma
-122.6401,47.74149; Poulsbo
-122.6372,45.52287; Portland
-122.6362,47.7453; Poulsbo
-122.6347,45.53447; Portland
-122.6334,45.42265; Milwaukie
-122.6313,47.51961; Port Orchard
-122.6312,47.51785; Port Orchard
-122.629,45.69349; Salmon Creek
-122.6287,47.627; Bremerton
-122.6283,45.44467; Milwaukie
-122.6263,45.51204; Portland
-122.6256,47.56346; Bremerton
-122.6244,38.23543; Petaluma
-122.6244,47.09474; DuPont
-122.6228,45.4907; Portland
-122.6219,38.24698; Petaluma
-122.6219,45.49738; Portland
-122.6154,45.5482; Portland
-122.6138,45.36647; West Linn
-122.6127,45.6862; Vancouver
-122.6127,48.50835; Anacortes
-122.6126,48.50997; Anacortes
-122.6121,47.3585; Gig Harbor
-122.6108,48.51326; Anacortes
-122.6097,47.53529; Port Orchard
-122.6074,47.3003; Gig Harbor
-122.6074,47.36501; Gig Harbor
-122.6045,45.66791; Vancouver
-122.6036,38.12202; Novato
-122.6006,45.36695; Oregon City
-122.596,38.23449; Petaluma
-122.594,46.93503; Yelm
-122.5919,45.4149; Milwaukie
-122.5895,45.62409; Vancouver
-122.587,45.58686; Portland
-122.5851,45.32988; Oregon City
-122.5821,45.65644; Vancouver
-122.5805,48.84507; Ferndale
-122.5793,47.30194; Gig Harbor
-122.579,45.45313; Portland
-122.5789,45.4586; Portland
-122.5788,45.49105; Portland
-122.5748,47.30813; Gig Harbor
-122.5706,45.43335; Clackamas
-122.5703,45.3399; Oregon City
-122.5694,38.10585; Novato
-122.5652,37.98003; San Anselmo
-122.5621,45.51824; Portland
-122.5597,45.5336; Portland
-122.5593,45.78062; Battle Ground
-122.5579,45.64089; Vancouver
-122.5554,45.64201; Vancouver
-122.5547,45.62106; Vancouver
-122.5525,45.6766; Vancouver
-122.5503,45.7821; Battle Ground
-122.5483,45.6203; Vancouver
-122.5458,38.00767; San Rafael
-122.542,45.77159; Battle Ground
-122.5401,45.4299; Clackamas
-122.5383,37.88083; Mill Valley
-122.5371,47.22229; Tacoma
-122.5363,45.5462; Portland
-122.5307,37.9266; #2318
-122.5301,47.19962; University Place
-122.5282,37.97312; San Rafael
-122.5265,47.23716; Tacoma
-122.5263,47.24334; Tacoma
-122.5237,37.94577; Greenbrae
-122.5189,47.63576; Bainbridge Island
-122.5159,47.27103; Tacoma
-122.5151,37.93137; Corte Madera
-122.5136,37.8999; Mill Valley
-122.513,37.89859; Mill Valley
-122.5129,47.16656; Tacoma
-122.5122,37.9306; Corte Madera
-122.5119,37.87315; Marin City
-122.5098,48.7897; Bellingham
-122.5093,37.94831; Larkspur
-122.5061,45.6366; Vancouver
-122.5059,45.66998; Vancouver
-122.5059,45.67077; Vancouver
-122.5052,45.61564; Vancouver
-122.5045,47.167; Lakewood
-122.5038,37.59516; Pacifica
-122.5014,45.60425; Vancouver
-122.4859,48.79462; Bellingham
-122.4857,48.76702; Bellingham
-122.4838,37.58278; Pacifica
-122.4836,47.16355; Lakewood
